,imdb_name_id,name,date_of_birth,height,is_actor,race,gender,sexuality
0,nm0002183,George Arliss,1868-04-10,170.0,True,White,Male,Straight
2,nm0515967,Doris Lloyd,1896-07-03,,True,White,Female,
5,nm0868456,David Torrence,1864-01-17,185.0,True,,,
9,nm0000910,Joan Bennett,1910-02-27,161.0,True,White,Female,Straight
12,nm0035196,Florence Arliss,1870-07-29,,True,,,
14,nm0124236,Anthony Bushell,1904-05-19,183.0,True,,,
16,nm0362267,Ann Harding,1902-08-07,157.0,True,White,Female,Straight
20,nm0000802,Mary Astor,1906-05-03,168.0,True,White,Female,Straight
25,nm0024739,Robert Ames,1889-03-23,178.0,True,,,
27,nm0177599,Hallam Cooley,1895-02-08,183.0,True,,,
29,nm0354878,Creighton Hale,1889-05-24,175.0,True,,,
31,nm0002143,Edward Everett Horton,1886-03-18,183.0,True,White,Male,Gay
34,nm0394407,Hedda Hopper,1885-05-02,170.0,True,White,Female,Straight
37,nm0000034,William Holden,1918-04-17,180.0,True,White,Male,Straight
59,nm0654530,Monroe Owsley,1900-08-11,180.0,True,,,
61,nm0000817,Lew Ayres,1908-12-28,177.0,True,White,Male,Straight
66,nm0558629,Dorothy Mathews,1912-02-13,160.0,True,,,
68,nm0417824,Leon Janney,1917-04-01,,True,,,
70,nm0254609,Robert Elliott,1879-10-09,187.0,True,,,
72,nm0000010,James Cagney,1899-07-17,165.0,True,White,Male,Straight
83,nm0861034,Kenneth Thomson,1899-01-07,183.0,True,,,
85,nm0535006,Noel Madison,1897-04-30,179.0,True,White,Male,Straight
88,nm0437304,Eddie Kane,1889-08-12,,True,,,
90,nm0934232,Tom Wilson,1880-08-27,188.0,True,,,
92,nm0296859,Dwight Frye,1899-02-22,169.0,True,White,Male,Straight
94,nm0431882,Charles Judels,1882-08-17,,True,,,
98,nm0007216,Nancy Carroll,1903-11-19,163.0,True,White,Female,Straight
100,nm0545298,Fredric March,1897-08-31,178.0,True,White,Male,Straight
106,nm0604656,Frank Morgan,1890-06-01,173.0,True,White,Male,Straight
110,nm0026011,Glenn Anders,1889-09-01,,True,White,Male,
112,nm0007223,James Dunn,1901-11-02,183.0,True,White,Male,Straight
115,nm0251755,Sally Eilers,1908-12-11,160.0,True,White,Female,Straight
117,nm0326809,Minna Gombell,1892-05-28,,True,,,
122,nm0201227,Frank Darien,1876-03-18,,True,,,
125,nm0269524,William Pawley,1905-07-21,183.0,True,,,
127,nm0280707,Paul Fix,1901-03-13,183.0,True,White,Male,Straight
135,nm0404158,Walter Huston,1883-04-05,183.0,True,White,Male,Straight
143,nm0823503,Frances Starr,1886-06-06,,True,,,
145,nm0593372,Grant Mitchell,1874-06-17,175.0,True,White,Male,Straight
153,nm0087434,Sally Blane,1910-07-11,164.0,True,White,Female,Straight
155,nm0408433,Ralph Ince,1887-01-16,,True,,,
157,nm0637789,Edward J. Nugent,1904-02-07,184.0,True,,,
160,nm0601129,Dickie Moore,1925-09-12,,True,White,Male,Straight
164,nm0671738,Nat Pendleton,1895-08-09,183.0,True,White,Male,Straight
168,nm0259638,George Ernest,1921-11-20,,True,,,
170,nm0394477,Russell Hopton,1900-02-18,180.0,True,,,
173,nm0757925,Charles 'Chic' Sale,1885-08-25,,True,,,
175,nm0000891,Wallace Beery,1885-04-01,182.0,True,White,Male,Straight
178,nm0140504,Leo Carrillo,1881-08-06,178.0,True,Hispanic,Male,Straight
182,nm0942039,Fay Wray,1907-09-15,160.0,True,White,Female,Straight
185,nm0007219,Donald Cook,1901-09-26,180.0,True,White,Male,Straight
187,nm0260020,Stuart Erwin,1903-02-14,175.0,True,White,Male,Straight
189,nm0910400,Henry B. Walthall,1878-03-16,170.0,True,,,
191,nm0771584,Joseph Schildkraut,1896-03-22,178.0,True,White,Male,Straight
194,nm0218490,Katherine DeMille,1911-06-29,162.0,True,,,
197,nm0831889,George E. Stone,1903-05-18,161.0,True,,,
201,nm0700084,Frank Puglia,1892-03-09,,True,White,Male,Straight
204,nm0124287,Francis X. Bushman Jr.,1903-05-01,188.0,True,,,
206,nm0035455,Henry Armetta,1888-07-04,,True,White,Male,
209,nm0002021,Noël Coward,1899-12-16,183.0,True,,,
212,nm0370833,Julie Haydon,1910-06-10,164.0,True,,,
214,nm0725897,Stanley Ridges,1890-07-17,,True,White,Male,
221,nm0805701,Martha Sleeper,1910-06-24,163.0,True,,,
223,nm0181960,Ernest Cossart,1876-09-24,175.0,True,,,
227,nm0941233,Alexander Woollcott,1887-01-19,,True,White,Male,Straight
229,nm0604174,Rosita Moreno,1907-03-18,164.0,True,,,
232,nm0161862,Eduardo Ciannelli,1889-08-30,170.0,True,White,Male,Straight
237,nm0822034,Lionel Stander,1908-01-11,183.0,True,White,Male,Straight
242,nm0000022,Clark Gable,1901-02-01,185.0,True,White,Male,Straight
249,nm0531776,Jeanette MacDonald,1903-06-18,163.0,True,White,Female,Straight
251,nm0000075,Spencer Tracy,1900-04-05,175.0,True,White,Male,Straight
265,nm0392442,Jack Holt,1888-05-31,183.0,True,White,Male,Straight
