,imdb_title_id,title,original_title,year,country,director,actors,avg_vote,decade,name,imdb_name_id,height,ordering,category,job,characters,race,gender,sexuality
0,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Helen Gardner,5.2,1910,Helen Gardner,nm0306947,166.0,1.0,actress,,"[""Cleopatra - Queen of Egypt""]",,,
1,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Pearl Sindelar,5.2,1910,Pearl Sindelar,nm0801774,,2.0,actress,,"[""Iras - An Attendant""]",,,
2,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Miss Fielding,5.2,1910,Miss Fielding,nm0276160,,3.0,actress,,"[""Charmian - An Attendant""]",,,
3,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Miss Robson,5.2,1910,Miss Robson,nm0733482,,4.0,actress,,"[""Octavia - Wife of Antony""]",,,
4,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Helene Costello,5.2,1910,Helene Costello,nm0182557,157.0,7.0,actress,,"[""Nicola - a Child""]",,,
5,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Charles Sindelar,5.2,1910,Charles Sindelar,nm1950505,,8.0,actor,,"[""Antony - a Triumvir and General""]",,,
6,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,Mr. Howard,5.2,1910,Mr. Howard,nm0397513,,9.0,actor,,"[""Pharon - a Greek Slave and Fisherman""]",,,
7,tt0002101,Cleopatra,Cleopatra,1912,USA,Charles L. Gaskill,James R. Waite,5.2,1910,James R. Waite,nm0906610,,10.0,actor,,"[""Venditius - a Roman Soldier""]",,,
8,tt0007801,Cleopatra,Cleopatra,1917,USA,J. Gordon Edwards,Theda Bara,6.5,1910,Theda Bara,nm0000847,168.0,1.0,actress,,"[""Cleopatra""]",White,Female,Straight
9,tt0007801,Cleopatra,Cleopatra,1917,USA,J. Gordon Edwards,Fritz Leiber,6.5,1910,Fritz Leiber,nm0500021,,2.0,actor,,"[""Caesar""]",White,Male,Straight
10,tt0028313,La vita del dottor Pasteur,The Story of Louis Pasteur,1936,USA,William Dieterle,Fritz Leiber,7.3,1930,Fritz Leiber,nm0500021,,,,,,White,Male,Straight
